Product ID : 2139 JPs covered : 433 : Personal Injury-Trial-Strategies, 
pr_001060119,0.628956, 0.000001
pr_000163815,0.628956, 0.000001
pr_000186007,0.628956, 0.000001
pr_000896931,0.628956, 0.000001
pr_001060097,0.628956, 0.000001
pr_000753466,0.628956, 0.000001
pr_000294775,0.628956, 0.000001
pr_001415512,0.628956, 0.000001
pr_001625366,0.628956, 0.000001
pr_000965687,0.628956, 0.000001
pr_001060219,0.628956, 0.000001
pr_000824561,0.628956, 0.000001
pr_002130186,0.628956, 0.000001
pr_000298885,0.628956, 0.000001
pr_001841768,0.628956, 0.000001
pr_001013556,0.628956, 0.000001
pr_001059066,0.628956, 0.000001
pr_001056928,0.628956, 0.000001
pr_001390803,0.628956, 0.000001
pr_000295944,0.628956, 0.000001
pr_001642092,0.628956, 0.000001
pr_001391639,0.628956, 0.000001
pr_000894429,0.628956, 0.000001
pr_001134006,0.628956, 0.000001
pr_001067955,0.628956, 0.000001
pr_001733381,0.628956, 0.000001
pr_000739865,0.628956, 0.000001
pr_000977563,0.628956, 0.000001
pr_000622637,0.628956, 0.000001
pr_000891343,0.628956, 0.000001
pr_001117414,0.628956, 0.000001
pr_000749067,0.628956, 0.000001
pr_001061812,0.628956, 0.000001
pr_000445839,0.628956, 0.000010
pr_000726688,0.628956, 0.000013
pr_000163702,0.628956, 0.000018
pr_000293256,0.628956, 0.000109
us_000516440,0.628956, 0.000110
us_000537663,0.628956, 0.000110
us_000601961,0.628956, 0.000110
us_000569389,0.628956, 0.000110
us_000533703,0.628956, 0.000110
pr_002076007,0.628956, 0.000315
pr_001007532,0.628956, 0.000347
pr_001642089,0.628956, 0.000412
pr_002075556,0.628956, 0.000415
pr_001162954,0.628956, 0.000775
us_000511067,0.628956, 0.677854
us_000529117,0.628956, 0.698283
us_000532398,0.628956, 0.786427
us_000532392,0.628956, 0.804022
us_000533267,0.628956, 0.826139
us_000572004,0.628956, 0.857291
us_000524674,0.628956, 0.869779
pr_000949218,0.595069, 0.000000
pr_001145886,0.595069, 0.000000
pr_000921213,0.595069, 0.000000
pr_000674245,0.595069, 0.000000
pr_000776381,0.595069, 0.000000
pr_000446782,0.595069, 0.000000
us_000472365,0.595069, 0.000006
pr_001006240,0.595069, 0.000080
pr_001022477,0.595069, 0.000116
us_000506000,0.595069, 0.000435
us_000551233,0.595069, 0.000518
pr_000440206,0.595069, 0.000574
us_000486097,0.595069, 0.000644
us_000488568,0.595069, 0.000875
pr_001974035,0.595069, 0.000920
pr_000879801,0.595069, 0.001257
us_000505840,0.595069, 0.001355
us_000202851,0.595069, 0.001403
us_000525698,0.595069, 0.001404
us_000523381,0.595069, 0.001719
us_000533732,0.595069, 0.001841
us_000533074,0.595069, 0.001841
us_000487386,0.595069, 0.002635
us_000472729,0.595069, 0.002985
us_000505833,0.595069, 0.003539
us_000556349,0.595069, 0.003564
us_000470716,0.595069, 0.003619
us_000505413,0.595069, 0.003711
us_000549333,0.595069, 0.003804
us_000586486,0.595069, 0.004409
us_000415278,0.595069, 0.004656
us_000535490,0.595069, 0.004736
us_000533855,0.595069, 0.005320
us_000573614,0.595069, 0.008983
us_000058820,0.595069, 0.013929
pr_001717171,0.595069, 0.020097
us_000483000,0.595069, 0.027182
us_000510997,0.595069, 0.029357
us_000489853,0.595069, 0.040950
pr_000736528,0.495188, 0.000000
pr_001961839,0.495188, 0.000000
pr_000929743,0.495188, 0.000000
pr_001080700,0.495188, 0.000000
pr_001035527,0.495188, 0.000000
pr_001003007,0.495188, 0.000000
pr_000653455,0.495188, 0.000000
us_000501610,0.495188, 0.000001
pr_000557425,0.495188, 0.000002
pr_000584541,0.495188, 0.000008
pr_001599516,0.495188, 0.000008
pr_000733173,0.495188, 0.000008
pr_000742405,0.495188, 0.000008
pr_000829476,0.495188, 0.000008
pr_000942446,0.495188, 0.000008
pr_000767498,0.495188, 0.000008
pr_000537282,0.495188, 0.000008
pr_000734535,0.495188, 0.000008
pr_001631346,0.495188, 0.000008
pr_001004707,0.495188, 0.000008
pr_000812932,0.495188, 0.000008
pr_000679580,0.495188, 0.000008
pr_001591353,0.495188, 0.000010
pr_000489395,0.495188, 0.000011
pr_001033394,0.495188, 0.000013
pr_000743588,0.495188, 0.000014
pr_000738628,0.495188, 0.000014
pr_001151412,0.495188, 0.000015
pr_000232514,0.495188, 0.000021
pr_000733781,0.495188, 0.000023
pr_000023572,0.495188, 0.000023
pr_001643304,0.495188, 0.000023
pr_000814577,0.495188, 0.000023
pr_001671298,0.495188, 0.000023
pr_001653200,0.495188, 0.000024
pr_000238070,0.495188, 0.000029
pr_001588672,0.495188, 0.000030
pr_000833277,0.495188, 0.000099
pr_000014254,0.495188, 0.000602
pr_000902694,0.495188, 0.000638
pr_000589970,0.495188, 0.000906
pr_001164428,0.495188, 0.001322
us_000567345,0.495188, 0.014830
us_000563931,0.495188, 0.020236
us_000608471,0.495188, 0.020643
us_000578158,0.495188, 0.400890
us_000529581,0.495188, 0.420658
us_000529620,0.495188, 0.440646
us_000573250,0.495188, 0.455523
us_000511781,0.495188, 0.463487
us_000571833,0.495188, 0.465812
us_000533489,0.495188, 0.474076
us_000515704,0.495188, 0.477896
us_000590929,0.495188, 0.511275
us_000511772,0.495188, 0.511852
us_000558866,0.495188, 0.514809
us_000493580,0.495188, 0.520257
us_000511743,0.495188, 0.522740
us_000598332,0.495188, 0.525411
us_000564581,0.495188, 0.528700
us_000493415,0.495188, 0.536532
us_000571837,0.495188, 0.537216
us_000538764,0.495188, 0.540835
us_000508620,0.495188, 0.542652
us_000560061,0.495188, 0.545950
us_000559870,0.495188, 0.546571
us_000488603,0.495188, 0.551929
us_000493603,0.495188, 0.552282
us_000528071,0.495188, 0.553245
us_000573590,0.495188, 0.554792
us_000559742,0.495188, 0.557076
us_000541946,0.495188, 0.558884
us_000507076,0.495188, 0.559065
us_000527522,0.495188, 0.559745
us_000527412,0.495188, 0.560728
us_000560732,0.495188, 0.563780
us_000541831,0.495188, 0.567337
us_000573432,0.495188, 0.569054
us_000544535,0.495188, 0.570092
us_000529542,0.495188, 0.570092
us_000571834,0.495188, 0.570689
us_000575874,0.495188, 0.570780
us_000552648,0.495188, 0.573276
us_000541012,0.495188, 0.573833
us_000575716,0.495188, 0.576554
us_000583088,0.495188, 0.579147
us_000543125,0.495188, 0.579804
us_000481578,0.495188, 0.580209
us_000493640,0.495188, 0.582430
us_000587065,0.495188, 0.582614
us_000501260,0.495188, 0.583001
us_000588385,0.495188, 0.584230
us_000580064,0.495188, 0.585109
us_000572453,0.495188, 0.585109
us_000589459,0.495188, 0.586818
us_000536030,0.495188, 0.587030
us_000527244,0.495188, 0.587703
us_000534057,0.495188, 0.588447
us_000587930,0.495188, 0.590150
us_000573266,0.495188, 0.590150
us_000505012,0.495188, 0.590954
us_000524728,0.495188, 0.592363
us_000541982,0.495188, 0.592622
us_000542645,0.495188, 0.594722
us_000599300,0.495188, 0.598071
us_000538399,0.495188, 0.598963
us_000559904,0.495188, 0.599525
us_000472857,0.495188, 0.600675
us_000561904,0.495188, 0.600893
us_000493587,0.495188, 0.601746
us_000527183,0.495188, 0.604354
us_000575205,0.495188, 0.608530
us_000587076,0.495188, 0.610078
us_000548692,0.495188, 0.610489
us_000533447,0.495188, 0.613015
us_000515872,0.495188, 0.616503
us_000591721,0.495188, 0.619714
us_000533446,0.495188, 0.622018
us_000480814,0.495188, 0.626236
us_000527165,0.495188, 0.626497
us_000532579,0.495188, 0.626882
us_000488692,0.495188, 0.630267
us_000507230,0.495188, 0.630349
us_000527253,0.495188, 0.634715
us_000524540,0.495188, 0.635545
us_000561862,0.495188, 0.635545
us_000548686,0.495188, 0.635545
us_000499379,0.495188, 0.635588
us_000507215,0.495188, 0.636196
us_000535917,0.495188, 0.636648
us_000540645,0.495188, 0.639989
us_000549864,0.495188, 0.639989
us_000544500,0.495188, 0.640835
us_000496215,0.495188, 0.641019
us_000506051,0.495188, 0.642217
us_000575295,0.495188, 0.642671
us_000528401,0.495188, 0.644477
us_000536238,0.495188, 0.648049
us_000548723,0.495188, 0.650133
us_000573050,0.495188, 0.651124
us_000558877,0.495188, 0.653582
us_000555751,0.495188, 0.655764
us_000506992,0.495188, 0.656836
us_000555886,0.495188, 0.657694
us_000575261,0.495188, 0.664269
us_000518452,0.495188, 0.664754
us_000560145,0.495188, 0.669585
us_000559937,0.495188, 0.670738
us_000549828,0.495188, 0.672897
us_000584673,0.495188, 0.673347
us_000576780,0.495188, 0.677870
us_000541086,0.495188, 0.677870
us_000541912,0.495188, 0.677870
us_000512554,0.495188, 0.681155
us_000573922,0.495188, 0.682911
us_000548794,0.495188, 0.682911
us_000532041,0.495188, 0.682911
us_000535849,0.495188, 0.682911
us_000564576,0.495188, 0.682911
us_000531926,0.495188, 0.682911
us_000508060,0.495188, 0.683237
us_000543083,0.495188, 0.694882
us_000549102,0.495188, 0.695534
us_000518390,0.495188, 0.701149
us_000565488,0.495188, 0.701675
us_000560033,0.495188, 0.704335
us_000507021,0.495188, 0.711029
us_000537299,0.495188, 0.721901
us_000556322,0.495188, 0.730566
us_000591529,0.495188, 0.746220
us_000542622,0.495188, 0.764516
us_000469379,0.495188, 0.773564
us_000489527,0.495188, 0.801578
us_000518274,0.495188, 0.832643
us_000538716,0.495188, 0.866025
us_000469988,0.495188, 0.871726
us_000527388,0.495188, 0.875227
us_000501485,0.495188, 0.881363
us_000544540,0.495188, 0.927692
us_000538392,0.495188, 0.965054
us_000512599,0.495188, 0.991272
pr_000319234,0.347193, 0.007045
us_000585967,0.347193, 0.550017
us_000511789,0.347193, 0.554127
us_000588401,0.347193, 0.609267
us_000560049,0.347193, 0.633263
us_000592447,0.347193, 0.639871
us_000554992,0.347193, 0.676069
us_000555008,0.347193, 0.676069
us_000527416,0.347193, 0.685326
us_000544492,0.347193, 0.694218
us_000565451,0.347193, 0.697634
us_000501227,0.347193, 0.723967
us_000575255,0.347193, 0.740549
us_000575272,0.347193, 0.752987
us_000545823,0.347193, 0.821354
us_000512645,0.347193, 0.900398
us_000506831,0.347193, 1.124721
us_000477338,0.037240, 0.000000
us_000480957,0.037240, 0.000000
us_000597822,0.037240, 0.000017
us_000581704,0.037240, 0.000064
us_000481633,0.037240, 0.000064
us_000560577,0.037240, 0.000068
us_000564704,0.037240, 0.000072
us_000563415,0.037240, 0.000310
us_000582980,0.037240, 0.000443
us_000576040,0.037240, 0.000443
us_000590059,0.037240, 0.000443
us_000592191,0.037240, 0.000443
us_000539255,0.037240, 0.000443
us_000577767,0.037240, 0.000545
us_000613703,0.037240, 0.000645
us_000596366,0.037240, 0.000656
us_000496528,0.037240, 0.001013
us_000534333,0.037240, 0.001013
us_000497798,0.037240, 0.001840
us_000486563,0.037240, 0.001995
us_000475094,0.037240, 0.002937
us_000612513,0.037240, 0.006170
us_000506712,0.037240, 0.006401
us_000490198,0.037240, 0.008555
us_000563992,0.037240, 0.009777
us_000593516,0.037240, 0.010803
us_000477002,0.037240, 0.017289
us_000519622,0.037240, 0.018868
us_000505322,0.037240, 0.049261
