Product ID : 104 JPs covered : 224 : Employment Litigation, 
us_000468285,0.622377, 0.607250
us_000536738,0.622377, 0.607682
us_000486512,0.622377, 0.614209
us_000495153,0.622377, 0.618475
us_000303465,0.622377, 0.629187
us_000536759,0.622377, 0.631820
us_000460417,0.622377, 0.637756
us_000470091,0.622377, 0.663879
us_000465775,0.622377, 0.666892
us_000473964,0.622377, 0.712296
us_000486695,0.622377, 0.794369
us_000497214,0.622377, 0.797044
us_000178383,0.622377, 0.884495
us_000303674,0.622377, 0.944353
us_000593829,0.622377, 0.997867
us_000467667,0.622377, 1.329818
us_000487479,0.622377, 1.682760
pr_001092849,0.588023, 0.000000
pr_001658907,0.588023, 0.000000
us_000495998,0.588023, 0.000000
pr_000736744,0.588023, 0.000001
us_000604512,0.588023, 0.000001
us_000588714,0.588023, 0.000001
pr_000916209,0.588023, 0.000009
pr_001685121,0.588023, 0.000009
pr_001634397,0.588023, 0.000009
pr_001007686,0.588023, 0.000009
us_000611973,0.588023, 0.000010
pr_001017581,0.588023, 0.000020
pr_001695370,0.588023, 0.000021
pr_001089209,0.588023, 0.000023
pr_001627159,0.588023, 0.000025
pr_001766956,0.588023, 0.000026
pr_001013179,0.588023, 0.000026
pr_001680195,0.588023, 0.000032
pr_001689621,0.588023, 0.000034
pr_001686659,0.588023, 0.000034
pr_000889099,0.588023, 0.000034
pr_000880189,0.588023, 0.000037
pr_000954001,0.588023, 0.000037
pr_001001107,0.588023, 0.000037
pr_001819207,0.588023, 0.000037
pr_001023045,0.588023, 0.000053
pr_000909204,0.588023, 0.000055
pr_001412642,0.588023, 0.000080
pr_001688926,0.588023, 0.000080
pr_001654907,0.588023, 0.000096
pr_000898963,0.588023, 0.000108
pr_001626795,0.588023, 0.000119
pr_001014364,0.588023, 0.000120
pr_001024939,0.588023, 0.000120
pr_000973990,0.588023, 0.000120
pr_001023264,0.588023, 0.000120
pr_000941061,0.588023, 0.000139
pr_001694087,0.588023, 0.000169
pr_000347362,0.588023, 0.000209
pr_001680351,0.588023, 0.000215
pr_001409430,0.588023, 0.000226
pr_000582979,0.588023, 0.000231
pr_000217881,0.588023, 0.000234
pr_001120242,0.588023, 0.000251
pr_000346396,0.588023, 0.000275
pr_000646798,0.588023, 0.000275
pr_000343851,0.588023, 0.000281
pr_001642690,0.588023, 0.000359
pr_000938885,0.588023, 0.000380
pr_000798397,0.588023, 0.000677
us_000592168,0.588023, 0.001554
us_000551414,0.588023, 0.001586
us_000391815,0.588023, 0.007065
us_000477762,0.588023, 1.981374
pr_000972087,0.490859, 0.000000
pr_000539275,0.490859, 0.000000
pr_001056353,0.490859, 0.000000
pr_001015448,0.490859, 0.000000
pr_000540893,0.490859, 0.000000
pr_000279448,0.490859, 0.000000
pr_001395534,0.490859, 0.000000
pr_001013633,0.490859, 0.000000
us_000501466,0.490859, 0.000002
us_000546428,0.490859, 0.000002
pr_001152460,0.490859, 0.000008
pr_000210814,0.490859, 0.000099
pr_000529965,0.490859, 0.000108
pr_000742791,0.490859, 0.000153
pr_000209486,0.490859, 0.000186
pr_000197464,0.490859, 0.000222
pr_000567129,0.490859, 0.000228
pr_001055735,0.490859, 0.000321
pr_001053296,0.490859, 0.000361
us_000520844,0.490859, 0.000941
us_000539094,0.490859, 0.010057
us_000523014,0.490859, 0.011087
us_000502384,0.490859, 0.011087
us_000506775,0.490859, 0.033281
us_000547096,0.490859, 0.040478
us_000549357,0.490859, 0.060980
us_000580996,0.490859, 0.094354
us_000536832,0.490859, 0.854579
us_000485039,0.490859, 0.916289
us_000528270,0.490859, 0.945659
us_000461518,0.490859, 0.963543
us_000216672,0.490859, 0.974374
us_000507390,0.490859, 1.025097
us_000471809,0.490859, 1.053339
us_000492969,0.490859, 1.057859
us_000483994,0.490859, 1.116866
us_000485120,0.490859, 2.278991
us_000519182,0.470905, 0.000004
pr_002052258,0.470905, 0.000010
pr_000410567,0.470905, 0.000232
us_000500668,0.470905, 0.000990
us_000596158,0.470905, 0.013424
us_000501734,0.470905, 0.031248
us_000478295,0.470905, 1.550014
us_000480110,0.470905, 2.020654
us_000507274,0.470905, 2.049726
us_000520316,0.470905, 2.093015
us_000477816,0.470905, 2.125984
pr_000103697,0.404128, 0.000000
pr_001685629,0.404128, 0.000000
us_000518445,0.404128, 0.000000
us_000502096,0.404128, 0.000000
us_000464977,0.404128, 0.000000
us_000603126,0.404128, 0.000000
us_000506471,0.404128, 0.000000
us_000556898,0.404128, 0.000000
us_000547441,0.404128, 0.000001
pr_001047203,0.404128, 0.000001
us_000524524,0.404128, 0.000005
us_000525905,0.404128, 0.000005
us_000590196,0.404128, 0.000639
us_000587170,0.404128, 0.001625
us_000588685,0.404128, 0.004460
us_000510992,0.404128, 0.004531
us_000516288,0.404128, 0.009095
us_000474685,0.404128, 0.013613
us_000465479,0.404128, 0.502892
us_000462615,0.404128, 0.522305
us_000482053,0.404128, 0.554694
pr_001024582,0.272162, 0.000000
pr_000980705,0.272162, 0.000000
pr_000911638,0.272162, 0.000000
pr_000268646,0.272162, 0.000000
pr_000023064,0.272162, 0.000002
pr_000592725,0.272162, 0.000102
us_000521104,0.272162, 0.010090
us_000488075,0.272162, 0.013133
us_000547370,0.272162, 0.481796
us_000491690,0.272162, 0.513078
us_000535788,0.093847, 0.000000
pr_001061095,0.093847, 0.000005
pr_000173565,0.093847, 0.000006
pr_000193042,0.093847, 0.000006
pr_000746978,0.093847, 0.000006
pr_000012626,0.093847, 0.000007
pr_001597003,0.093847, 0.000008
pr_001626743,0.093847, 0.000010
pr_000305060,0.093847, 0.000011
pr_001162013,0.093847, 0.000012
pr_000961817,0.093847, 0.000013
pr_001024177,0.093847, 0.000014
pr_000881644,0.093847, 0.000014
pr_000977228,0.093847, 0.000014
pr_000956880,0.093847, 0.000014
pr_000014379,0.093847, 0.000015
pr_000011988,0.093847, 0.000015
pr_001087531,0.093847, 0.000015
pr_000022229,0.093847, 0.000016
pr_000637736,0.093847, 0.000021
pr_001023232,0.093847, 0.000029
pr_001111830,0.093847, 0.000033
us_000573305,0.093847, 0.000035
us_000581477,0.093847, 0.000035
pr_001634826,0.093847, 0.000044
us_000579118,0.093847, 0.000065
pr_001032013,0.093847, 0.000090
pr_001620236,0.093847, 0.000096
pr_000003011,0.093847, 0.000293
us_000517300,0.093847, 0.002042
us_000465505,0.093847, 0.002750
us_000465860,0.093847, 0.146430
us_000474467,0.093847, 0.148577
us_000487210,0.093847, 0.151321
us_000479447,0.093847, 0.154578
us_000474068,0.093847, 0.157550
us_000328862,0.093847, 0.159471
us_000214007,0.093847, 0.159601
us_000204804,0.093847, 0.160896
us_000472448,0.093847, 0.162008
us_000222569,0.093847, 0.163573
us_000105651,0.093847, 0.163856
us_000460205,0.093847, 0.164497
us_000465950,0.093847, 0.165205
us_000471659,0.093847, 0.165241
us_000472935,0.093847, 0.165348
us_000366999,0.093847, 0.165415
us_000483366,0.093847, 0.166091
us_000371609,0.093847, 0.166146
us_000482180,0.093847, 0.166332
us_000586373,0.093847, 0.167294
us_000462895,0.093847, 0.167507
us_000483607,0.093847, 0.167626
us_000478379,0.093847, 0.168412
us_000486785,0.093847, 0.169190
us_000197569,0.093847, 0.169379
us_000593957,0.093847, 0.169510
us_000105777,0.093847, 0.169611
us_000465643,0.093847, 0.170025
us_000485612,0.093847, 0.170128
us_000071179,0.093847, 0.170292
us_000071420,0.093847, 0.170292
us_000321611,0.093847, 0.170380
us_000537208,0.093847, 0.170472
us_000309674,0.093847, 0.170487
us_000537255,0.093847, 0.170701
us_000489155,0.093847, 0.170738
us_000478492,0.093847, 0.171120
us_000465272,0.093847, 0.171184
us_000468363,0.093847, 0.171710
us_000468368,0.093847, 0.171710
us_000474026,0.093847, 0.171710
us_000483508,0.093847, 0.171842
us_000473013,0.093847, 0.171906
us_000490707,0.093847, 0.171931
us_000470321,0.093847, 0.172200
us_000292673,0.093847, 0.172847
us_000458861,0.093847, 0.172973
us_000594042,0.093847, 0.173078
us_000474659,0.093847, 0.173875
us_000473978,0.093847, 0.173875
us_000471620,0.093847, 0.174128
us_000195308,0.093847, 0.174392
us_000466033,0.093847, 0.174662
us_000491070,0.093847, 0.175076
us_000480699,0.093847, 0.176076
us_000472430,0.093847, 0.176076
us_000467727,0.093847, 0.176172
us_000478412,0.093847, 0.176760
us_000291724,0.093847, 0.176760
us_000483581,0.093847, 0.176966
us_000486172,0.093847, 0.177119
us_000505836,0.093847, 0.177397
us_000486046,0.093847, 0.178151
us_000477436,0.093847, 0.178311
us_000556478,0.093847, 0.178311
us_000484936,0.093847, 0.178311
us_000553127,0.093847, 0.178311
us_000019621,0.093847, 0.178311
us_000562963,0.093847, 0.178311
us_000292850,0.093847, 0.179382
us_000288538,0.093847, 0.179874
us_000537366,0.093847, 0.180529
us_000463081,0.093847, 0.181003
us_000594580,0.093847, 0.181386
us_000466060,0.093847, 0.182253
us_000473372,0.093847, 0.182954
us_000470459,0.093847, 0.184127
us_000475163,0.093847, 0.184511
us_000499713,0.093847, 0.184629
us_000478249,0.093847, 0.185224
us_000464340,0.093847, 0.185423
us_000431491,0.093847, 0.186312
us_000113854,0.093847, 0.186376
us_000487213,0.093847, 0.186447
us_000314893,0.093847, 0.188161
us_000478321,0.093847, 0.188652
us_000475926,0.093847, 0.188829
us_000478397,0.093847, 0.188935
us_000489477,0.093847, 0.189429
us_000462608,0.093847, 0.189466
us_000469243,0.093847, 0.189554
us_000398171,0.093847, 0.189918
us_000485443,0.093847, 0.189936
us_000473962,0.093847, 0.190006
us_000261718,0.093847, 0.190759
us_000071849,0.093847, 0.190915
us_000487657,0.093847, 0.191224
us_000470250,0.093847, 0.191394
us_000549766,0.093847, 0.191612
us_000557240,0.093847, 0.191690
us_000470343,0.093847, 0.191733
us_000484937,0.093847, 0.191781
us_000480594,0.093847, 0.192456
us_000487803,0.093847, 0.192660
us_000025130,0.093847, 0.193522
us_000545643,0.093847, 0.194180
us_000522499,0.093847, 0.194267
us_000470403,0.093847, 0.194650
us_000477760,0.093847, 0.194650
us_000556345,0.093847, 0.195246
us_000594539,0.093847, 0.195581
us_000485593,0.093847, 0.195687
us_000025333,0.093847, 0.195797
us_000598829,0.093847, 0.196101
us_000466058,0.093847, 0.196631
us_000465750,0.093847, 0.197106
us_000557313,0.093847, 0.197209
us_000459006,0.093847, 0.197232
us_000468304,0.093847, 0.197440
us_000477700,0.093847, 0.197440
us_000469522,0.093847, 0.197647
us_000358496,0.093847, 0.197664
us_000178390,0.093847, 0.197804
us_000462540,0.093847, 0.198345
us_000467207,0.093847, 0.198497
us_000489550,0.093847, 0.198497
us_000492313,0.093847, 0.198532
us_000580101,0.093847, 0.198551
us_000467158,0.093847, 0.198651
us_000486293,0.093847, 0.198708
us_000471634,0.093847, 0.199020
us_000465694,0.093847, 0.199327
us_000471697,0.093847, 0.199988
us_000486906,0.093847, 0.199988
us_000471935,0.093847, 0.199988
us_000474372,0.093847, 0.199988
us_000482079,0.093847, 0.200530
us_000486515,0.093847, 0.201019
us_000530691,0.093847, 0.201364
us_000499484,0.093847, 0.202141
us_000502870,0.093847, 0.202528
us_000496151,0.093847, 0.202570
us_000463841,0.093847, 0.202570
us_000465544,0.093847, 0.202570
us_000492421,0.093847, 0.202570
us_000499191,0.093847, 0.202570
us_000468858,0.093847, 0.202570
us_000279111,0.093847, 0.202570
us_000492855,0.093847, 0.202570
us_000470368,0.093847, 0.202570
us_000487465,0.093847, 0.202570
us_000503604,0.093847, 0.202570
us_000477786,0.093847, 0.202570
us_000520446,0.093847, 0.202570
us_000465514,0.093847, 0.202570
us_000499695,0.093847, 0.202570
us_000464907,0.093847, 0.202570
us_000469066,0.093847, 0.202581
us_000529353,0.093847, 0.203144
us_000481481,0.093847, 0.204155
us_000469252,0.093847, 0.205177
us_000545503,0.093847, 0.205346
us_000504842,0.093847, 0.205485
us_000480701,0.093847, 0.207838
us_000487893,0.093847, 0.208557
us_000478234,0.093847, 0.209143
us_000478527,0.093847, 0.209156
us_000558179,0.093847, 0.209938
us_000492109,0.093847, 0.211849
us_000466016,0.093847, 0.212547
us_000474862,0.093847, 0.213246
us_000479438,0.093847, 0.214061
us_000477853,0.093847, 0.214611
us_000464609,0.093847, 0.214705
us_000485653,0.093847, 0.215783
us_000506547,0.093847, 0.216353
us_000552182,0.093847, 0.218514
us_000530141,0.093847, 0.219050
us_000529158,0.093847, 0.219143
us_000530666,0.093847, 0.221261
us_000550447,0.093847, 0.223425
us_000472104,0.093847, 0.225582
us_000499489,0.093847, 0.226156
us_000493028,0.093847, 0.228328
us_000552181,0.093847, 0.228406
us_000506580,0.093847, 0.229540
us_000472948,0.093847, 0.231584
us_000092003,0.093847, 0.232284
us_000453486,0.093847, 0.233284
us_000537063,0.093847, 0.234744
us_000472950,0.093847, 0.235061
us_000499766,0.093847, 0.235423
us_000483361,0.093847, 0.235992
us_000503970,0.093847, 0.236154
us_000432992,0.093847, 0.236876
us_000467869,0.093847, 0.237170
us_000465543,0.093847, 0.241333
us_000212968,0.093847, 0.242294
us_000067087,0.093847, 0.244920
us_000465743,0.093847, 0.249725
us_000462867,0.093847, 0.250248
us_000303684,0.093847, 0.256798
us_000529468,0.093847, 0.262664
us_000593937,0.093847, 0.264374
us_000485733,0.093847, 0.264401
us_000477751,0.093847, 0.267256
us_000504017,0.093847, 0.268768
us_000522642,0.093847, 0.269982
us_000014744,0.093847, 0.279714
us_000491293,0.093847, 0.307268
us_000473817,0.093847, 0.308368
us_000496159,0.093847, 0.308763
us_000478994,0.093847, 0.311516
us_000505642,0.093847, 0.337121
us_000464779,0.093847, 0.353126
