Product ID : 2092 # of JPs covered : 1 : 438 : Personal Injury-Substantive, 
us_000588519,0.666139, 0.277167
us_000524748,0.666139, 0.278517
us_000491804,0.666139, 0.278943
us_000598490,0.666139, 0.279288
us_000613351,0.666139, 0.279636
us_000613268,0.666139, 0.281400
us_000586100,0.666139, 0.281816
us_000498555,0.666139, 0.282189
us_000613537,0.666139, 0.282669
us_000594656,0.666139, 0.282814
us_000544573,0.666139, 0.282814
us_000468020,0.666139, 0.283308
us_000537842,0.666139, 0.283344
us_000569457,0.666139, 0.283344
us_000529577,0.666139, 0.283850
us_000612508,0.666139, 0.283947
us_000561299,0.666139, 0.285356
us_000559629,0.666139, 0.285813
us_000544792,0.666139, 0.285982
us_000588543,0.666139, 0.286015
us_000585958,0.666139, 0.286015
us_000588568,0.666139, 0.286015
us_000490975,0.666139, 0.286035
us_000585824,0.666139, 0.286238
us_000590519,0.666139, 0.286476
us_000612729,0.666139, 0.286476
us_000589556,0.666139, 0.286513
us_000587869,0.666139, 0.286513
us_000613267,0.666139, 0.286513
us_000587911,0.666139, 0.286513
us_000500279,0.666139, 0.286531
us_000549483,0.666139, 0.286707
us_000535635,0.666139, 0.286900
us_000502328,0.666139, 0.286900
us_000589975,0.666139, 0.286960
us_000527674,0.666139, 0.287345
us_000570208,0.666139, 0.287509
us_000491235,0.666139, 0.287686
us_000612981,0.666139, 0.288656
us_000597572,0.666139, 0.288882
us_000577286,0.666139, 0.288882
us_000597573,0.666139, 0.288882
us_000598349,0.666139, 0.288882
us_000598883,0.666139, 0.289163
us_000613408,0.666139, 0.289210
us_000510737,0.666139, 0.289210
us_000546276,0.666139, 0.289748
us_000593790,0.666139, 0.289867
us_000593891,0.666139, 0.289899
us_000490432,0.666139, 0.290084
us_000566956,0.666139, 0.290297
us_000591922,0.666139, 0.290332
us_000582844,0.666139, 0.290332
us_000579834,0.666139, 0.290671
us_000587719,0.666139, 0.290768
us_000488936,0.666139, 0.290768
us_000593762,0.666139, 0.290768
us_000499658,0.666139, 0.290818
us_000585892,0.666139, 0.291288
us_000586002,0.666139, 0.291851
us_000508565,0.666139, 0.291908
us_000511986,0.666139, 0.291908
us_000523122,0.666139, 0.291908
us_000511984,0.666139, 0.292205
us_000510318,0.666139, 0.293019
us_000497989,0.666139, 0.293232
us_000497974,0.666139, 0.293232
us_000587321,0.666139, 0.293232
us_000488124,0.666139, 0.293232
us_000557721,0.666139, 0.293232
us_000545380,0.666139, 0.293263
us_000570610,0.666139, 0.293720
us_000599235,0.666139, 0.293720
us_000542492,0.666139, 0.293720
us_000613273,0.666139, 0.293720
us_000492064,0.666139, 0.293720
us_000572069,0.666139, 0.293729
us_000509993,0.666139, 0.293746
us_000499880,0.666139, 0.293746
us_000498083,0.666139, 0.293935
us_000582886,0.666139, 0.294083
us_000565212,0.666139, 0.294290
us_000573593,0.666139, 0.294436
us_000614667,0.666139, 0.294685
us_000538237,0.666139, 0.295136
us_000588178,0.666139, 0.295652
us_000613502,0.666139, 0.295652
us_000598911,0.666139, 0.295652
us_000597825,0.666139, 0.295652
us_000587512,0.666139, 0.295652
us_000579254,0.666139, 0.295652
us_000585243,0.666139, 0.295652
us_000584489,0.666139, 0.295652
us_000567015,0.666139, 0.295803
us_000589513,0.666139, 0.296207
us_000613930,0.666139, 0.296629
us_000614853,0.666139, 0.296629
us_000615254,0.666139, 0.296629
us_000613969,0.666139, 0.296629
us_000538345,0.666139, 0.296791
us_000493860,0.666139, 0.297009
us_000597268,0.666139, 0.297152
us_000597282,0.666139, 0.297152
us_000559070,0.666139, 0.297513
us_000517279,0.666139, 0.298061
us_000572398,0.666139, 0.299075
us_000611946,0.666139, 0.299075
us_000588020,0.666139, 0.299075
us_000588021,0.666139, 0.299075
us_000593617,0.666139, 0.299075
us_000594436,0.666139, 0.299075
us_000564681,0.666139, 0.299149
us_000560102,0.666139, 0.299149
us_000499384,0.666139, 0.299523
us_000559196,0.666139, 0.299523
us_000557981,0.666139, 0.299523
us_000498530,0.666139, 0.299523
us_000565863,0.666139, 0.299523
us_000510291,0.666139, 0.299523
us_000588658,0.666139, 0.300052
us_000582454,0.666139, 0.300052
us_000613644,0.666139, 0.300052
us_000587569,0.666139, 0.300052
us_000612997,0.666139, 0.300052
us_000598478,0.666139, 0.300052
us_000583509,0.666139, 0.300052
us_000593972,0.666139, 0.300052
us_000587740,0.666139, 0.300052
us_000492059,0.666139, 0.300052
us_000491982,0.666139, 0.300052
us_000613541,0.666139, 0.300052
us_000502083,0.666139, 0.300052
us_000571546,0.666139, 0.300052
us_000488613,0.666139, 0.300052
us_000558140,0.666139, 0.300052
us_000571356,0.666139, 0.300052
us_000488538,0.666139, 0.300052
us_000571719,0.666139, 0.300052
us_000597802,0.666139, 0.300052
us_000579408,0.666139, 0.300052
us_000583621,0.666139, 0.300052
us_000570704,0.666139, 0.300052
us_000583494,0.666139, 0.300052
us_000579218,0.666139, 0.300052
us_000498682,0.666139, 0.300052
us_000597879,0.666139, 0.300052
us_000583639,0.666139, 0.300052
us_000600640,0.666139, 0.300052
us_000561277,0.666139, 0.301276
us_000569296,0.666139, 0.301445
us_000544586,0.666139, 0.302521
us_000558997,0.666139, 0.302691
us_000499375,0.666139, 0.302691
us_000510124,0.666139, 0.302691
us_000548210,0.666139, 0.302691
us_000544041,0.666139, 0.302691
us_000548314,0.666139, 0.302691
us_000557640,0.666139, 0.302691
us_000544357,0.666139, 0.302691
us_000559816,0.666139, 0.302691
us_000509847,0.666139, 0.302691
us_000529073,0.666139, 0.303608
us_000548612,0.666139, 0.303608
us_000529498,0.666139, 0.303608
us_000526993,0.666139, 0.304183
us_000469582,0.666139, 0.304197
us_000595132,0.666139, 0.305099
us_000598878,0.666139, 0.305453
us_000498526,0.666139, 0.305919
us_000570626,0.666139, 0.305919
us_000509408,0.666139, 0.306359
us_000501525,0.666139, 0.306822
us_000564574,0.666139, 0.307006
us_000504984,0.666139, 0.307006
us_000559556,0.666139, 0.307006
us_000513810,0.666139, 0.307006
us_000560129,0.666139, 0.307006
us_000488919,0.666139, 0.307006
us_000533971,0.666139, 0.307134
us_000577245,0.666139, 0.308446
us_000502582,0.666139, 0.308555
us_000566971,0.666139, 0.308871
us_000545156,0.666139, 0.308871
us_000561152,0.666139, 0.309342
us_000574953,0.666139, 0.309342
us_000560084,0.666139, 0.310429
us_000527100,0.666139, 0.310429
us_000498042,0.666139, 0.310429
us_000546320,0.666139, 0.310429
us_000569706,0.666139, 0.310429
us_000504985,0.666139, 0.310429
us_000547453,0.666139, 0.310429
us_000560754,0.666139, 0.310429
us_000492020,0.666139, 0.310429
us_000544737,0.666139, 0.310429
us_000547674,0.666139, 0.310429
us_000544609,0.666139, 0.310576
us_000463634,0.666139, 0.311935
us_000547151,0.666139, 0.312243
us_000554074,0.666139, 0.312243
us_000548818,0.666139, 0.312347
us_000547602,0.666139, 0.312347
us_000548725,0.666139, 0.312347
us_000490181,0.666139, 0.313899
us_000559881,0.666139, 0.314798
us_000511776,0.666139, 0.315015
us_000595575,0.666139, 0.315215
us_000594624,0.666139, 0.315641
us_000496727,0.666139, 0.315641
us_000503361,0.666139, 0.316135
us_000559835,0.666139, 0.316972
us_000549925,0.666139, 0.318170
us_000505910,0.666139, 0.318218
us_000531660,0.666139, 0.318438
us_000569359,0.666139, 0.318638
us_000538467,0.666139, 0.318638
us_000548255,0.666139, 0.318913
us_000548258,0.666139, 0.318913
us_000503999,0.666139, 0.318913
us_000527437,0.666139, 0.318913
us_000564624,0.666139, 0.318913
us_000499818,0.666139, 0.318913
us_000567799,0.666139, 0.319064
us_000504368,0.666139, 0.319064
us_000534974,0.666139, 0.319064
us_000496768,0.666139, 0.319064
us_000524292,0.666139, 0.320469
us_000508592,0.666139, 0.321306
us_000498129,0.666139, 0.321567
us_000536758,0.666139, 0.321567
us_000510521,0.666139, 0.321567
us_000499592,0.666139, 0.321567
us_000519163,0.666139, 0.322234
us_000560035,0.666139, 0.322234
us_000511870,0.666139, 0.322234
us_000524987,0.666139, 0.323778
us_000497457,0.666139, 0.324990
us_000504364,0.666139, 0.324990
us_000537055,0.666139, 0.324990
us_000567410,0.666139, 0.325079
us_000545202,0.666139, 0.325580
us_000509214,0.666139, 0.325580
us_000518421,0.666139, 0.325580
us_000547646,0.666139, 0.325580
us_000512750,0.666139, 0.325580
us_000506552,0.666139, 0.325580
us_000511563,0.666139, 0.325580
us_000499831,0.666139, 0.325580
us_000518165,0.666139, 0.325580
us_000542168,0.666139, 0.325580
us_000558585,0.666139, 0.325580
us_000518275,0.666139, 0.325580
us_000463626,0.666139, 0.326254
us_000534747,0.666139, 0.326828
us_000523521,0.666139, 0.327970
us_000513539,0.666139, 0.328580
us_000549592,0.666139, 0.328897
us_000497978,0.666139, 0.328952
us_000545432,0.666139, 0.328952
us_000535650,0.666139, 0.328952
us_000497994,0.666139, 0.328952
us_000499519,0.666139, 0.328952
us_000500014,0.666139, 0.328952
us_000499495,0.666139, 0.328952
us_000499433,0.666139, 0.328952
us_000547153,0.666139, 0.328952
us_000545446,0.666139, 0.328952
us_000544578,0.666139, 0.328952
us_000566593,0.666139, 0.328952
us_000545458,0.666139, 0.328952
us_000504108,0.666139, 0.328952
us_000576552,0.666139, 0.328952
us_000529675,0.666139, 0.328952
us_000513179,0.666139, 0.328952
us_000573233,0.666139, 0.328952
us_000559275,0.666139, 0.328952
us_000547131,0.666139, 0.328952
us_000511363,0.666139, 0.328952
us_000569211,0.666139, 0.328952
us_000529171,0.666139, 0.328952
us_000566842,0.666139, 0.328952
us_000548631,0.666139, 0.328952
us_000545457,0.666139, 0.328952
us_000499525,0.666139, 0.328952
us_000499774,0.666139, 0.328952
us_000576625,0.666139, 0.328952
us_000502330,0.666139, 0.328952
us_000544476,0.666139, 0.328952
us_000532405,0.666139, 0.328952
us_000510740,0.666139, 0.329527
us_000522210,0.666139, 0.330573
us_000497746,0.666139, 0.331315
us_000549987,0.666139, 0.332350
us_000572999,0.666139, 0.332350
us_000518977,0.666139, 0.332350
us_000499721,0.666139, 0.332350
us_000511889,0.666139, 0.332350
us_000559563,0.666139, 0.332350
us_000565434,0.666139, 0.332350
us_000503016,0.666139, 0.332350
us_000502310,0.666139, 0.332350
us_000566087,0.666139, 0.332350
us_000553940,0.666139, 0.332350
us_000570634,0.666139, 0.332350
us_000565441,0.666139, 0.332350
us_000499642,0.666139, 0.332350
us_000558061,0.666139, 0.332350
us_000559567,0.666139, 0.332350
us_000559764,0.666139, 0.332350
us_000544210,0.666139, 0.332350
us_000594796,0.666139, 0.332350
us_000544574,0.666139, 0.332350
us_000549354,0.666139, 0.332350
us_000510739,0.666139, 0.332350
us_000499652,0.666139, 0.332350
us_000499638,0.666139, 0.332350
us_000500301,0.666139, 0.332350
us_000559184,0.666139, 0.332350
us_000511922,0.666139, 0.332350
us_000508624,0.666139, 0.332350
us_000499705,0.666139, 0.332350
us_000559848,0.666139, 0.332350
us_000511906,0.666139, 0.332350
us_000499402,0.666139, 0.332350
us_000499722,0.666139, 0.332350
us_000566071,0.666139, 0.332350
us_000500325,0.666139, 0.332350
us_000510761,0.666139, 0.332350
us_000569186,0.666139, 0.332350
us_000517897,0.666139, 0.332350
us_000511849,0.666139, 0.332350
us_000499677,0.666139, 0.332350
us_000545425,0.666139, 0.332350
us_000557996,0.666139, 0.332350
us_000498551,0.666139, 0.332350
us_000557795,0.666139, 0.332350
us_000518056,0.666139, 0.332350
us_000499805,0.666139, 0.332350
us_000527053,0.666139, 0.332350
us_000518965,0.666139, 0.332350
us_000502994,0.666139, 0.332350
us_000547084,0.666139, 0.332350
us_000549472,0.666139, 0.332350
us_000497957,0.666139, 0.332350
us_000566072,0.666139, 0.332350
us_000500316,0.666139, 0.332350
us_000511920,0.666139, 0.332350
us_000557142,0.666139, 0.332350
us_000546392,0.666139, 0.332350
us_000514694,0.666139, 0.332350
us_000499650,0.666139, 0.332350
us_000499790,0.666139, 0.332350
us_000519047,0.666139, 0.332350
us_000544577,0.666139, 0.332350
us_000511854,0.666139, 0.332350
us_000528540,0.666139, 0.332350
us_000517943,0.666139, 0.332350
us_000518802,0.666139, 0.332350
us_000545107,0.666139, 0.332350
us_000513212,0.666139, 0.332350
us_000513806,0.666139, 0.332350
us_000527567,0.666139, 0.332350
us_000577022,0.666139, 0.332350
us_000569591,0.666139, 0.332350
us_000517903,0.666139, 0.332350
us_000511919,0.666139, 0.332350
us_000498597,0.666139, 0.332350
us_000505132,0.666139, 0.332350
us_000559415,0.666139, 0.332950
us_000556476,0.666139, 0.333378
us_000467234,0.666139, 0.333486
us_000535989,0.666139, 0.335511
us_000529361,0.666139, 0.335511
us_000511843,0.666139, 0.335524
us_000544006,0.666139, 0.335772
us_000528777,0.666139, 0.335772
us_000527101,0.666139, 0.335772
us_000576274,0.666139, 0.335772
us_000510205,0.666139, 0.335772
us_000559308,0.666139, 0.335772
us_000511755,0.666139, 0.335772
us_000498692,0.666139, 0.335772
us_000546263,0.666139, 0.335772
us_000502363,0.666139, 0.335772
us_000502892,0.666139, 0.335772
us_000544558,0.666139, 0.335772
us_000567955,0.666139, 0.335772
us_000565238,0.666139, 0.335772
us_000559946,0.666139, 0.335772
us_000529530,0.666139, 0.335772
us_000569658,0.666139, 0.335772
us_000527312,0.666139, 0.335772
us_000500758,0.666139, 0.335772
us_000527993,0.666139, 0.335772
us_000511979,0.666139, 0.335772
us_000548280,0.666139, 0.335772
us_000503142,0.666139, 0.335772
us_000545128,0.666139, 0.335772
us_000570000,0.666139, 0.335772
us_000498796,0.666139, 0.335772
us_000511818,0.666139, 0.335772
us_000519536,0.666139, 0.335772
us_000536562,0.666139, 0.335772
us_000553970,0.666139, 0.335772
us_000595532,0.666139, 0.335772
us_000547025,0.666139, 0.335772
us_000499106,0.666139, 0.335772
us_000489109,0.666139, 0.335772
us_000560095,0.666139, 0.335772
us_000508571,0.666139, 0.335772
us_000545407,0.666139, 0.335772
us_000595378,0.666139, 0.335772
us_000547563,0.666139, 0.335772
us_000502352,0.666139, 0.335772
us_000529338,0.666139, 0.335772
us_000565915,0.666139, 0.335772
us_000514010,0.666139, 0.335772
us_000517825,0.666139, 0.335772
us_000594550,0.666139, 0.335772
us_000527554,0.666139, 0.335772
us_000545471,0.666139, 0.335772
us_000502344,0.666139, 0.335772
us_000518880,0.666139, 0.335772
us_000587389,0.666139, 0.335772
us_000559554,0.666139, 0.335772
us_000499226,0.666139, 0.335772
us_000556523,0.666139, 0.335772
us_000546911,0.666139, 0.335772
us_000529631,0.666139, 0.335772
us_000547442,0.666139, 0.335772
us_000528986,0.666139, 0.335772
us_000547043,0.666139, 0.335772
us_000534816,0.666139, 0.335772
us_000559699,0.666139, 0.335772
us_000499188,0.666139, 0.335772
us_000547443,0.666139, 0.335772
us_000573182,0.666139, 0.335772
us_000510900,0.666139, 0.335772
us_000565897,0.666139, 0.335772
us_000518671,0.666139, 0.335772
us_000565326,0.666139, 0.335772
us_000510194,0.666139, 0.335772
us_000549094,0.666139, 0.335772
us_000503623,0.666139, 0.335772
us_000514060,0.666139, 0.335772
us_000559978,0.666139, 0.335772
us_000534770,0.666139, 0.335772
us_000545423,0.666139, 0.335772
us_000511080,0.666139, 0.335772
us_000559064,0.666139, 0.335772
us_000508501,0.666139, 0.335772
us_000546288,0.666139, 0.335772
us_000547239,0.666139, 0.335772
us_000566029,0.666139, 0.335772
us_000535818,0.666139, 0.335772
us_000517721,0.666139, 0.335772
us_000548196,0.666139, 0.335772
us_000547004,0.666139, 0.335772
us_000529537,0.666139, 0.335772
us_000510958,0.666139, 0.335772
us_000527192,0.666139, 0.335772
us_000513804,0.666139, 0.335772
us_000529669,0.666139, 0.335772
us_000565999,0.666139, 0.335772
us_000498621,0.666139, 0.335772
us_000505167,0.666139, 0.335772
us_000518981,0.666139, 0.335772
us_000517785,0.666139, 0.335772
us_000534703,0.666139, 0.335772
us_000509884,0.666139, 0.335772
us_000514514,0.666139, 0.335772
us_000565096,0.666139, 0.335772
us_000547974,0.666139, 0.335772
us_000558885,0.666139, 0.335772
us_000511095,0.666139, 0.335772
us_000510669,0.666139, 0.335772
us_000595064,0.666139, 0.335772
us_000529603,0.666139, 0.335772
us_000547000,0.666139, 0.335772
us_000527465,0.666139, 0.335772
us_000535155,0.666139, 0.335772
us_000548315,0.666139, 0.335772
us_000566206,0.666139, 0.335772
us_000543997,0.666139, 0.335772
us_000514393,0.666139, 0.335772
us_000510037,0.666139, 0.335772
us_000527651,0.666139, 0.335772
us_000527194,0.666139, 0.335772
us_000511442,0.666139, 0.335772
us_000527193,0.666139, 0.335772
us_000518492,0.666139, 0.335772
us_000514195,0.666139, 0.335772
us_000570595,0.666139, 0.335772
us_000518630,0.666139, 0.335772
us_000510266,0.666139, 0.335772
us_000517272,0.666139, 0.335772
us_000569226,0.666139, 0.335772
us_000509831,0.666139, 0.335772
us_000577210,0.666139, 0.335772
